START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Driver_Rating,Passenger_Rating,Ride_Distance_km,Ride_Duration_min,Surge_Pricing_Multiplier,Weather_Condition,Traffic_Level,Payment_Method,Promo_Code_Used,Cancellation_Status,Pickup_Area_Type,Drop_Area_Type,Vehicle_Type,Driver_Experience_Years,Customer_Support_Calls,Base_Fare,Cost_Per_Km,Estimated_Fare,Total_Fare,Fare_Per_Minute,Hour,Peak_Hour,Day_of_Week,Weekend_Ride,Long_Ride_Flag,High_Traffic_Flag,High_Rated_Driver,Discount_Amount,Final_Payable_Amount,
1/13/2016 15:28,1/13/2016 15:28,Business,New York,Queens,10.8,Meeting,3.5,4.7,18.63,83,2.21,Stormy,High,UPI,Yes,Cancelled by Driver,Rural,Suburban,Mini,2,4,50,12,273.56,604.5676,3.295903614,15,No,Sunday,Yes,Yes,Yes,No,27.356,577.2116,
1/13/2016 15:28,1/13/2016 15:28,Business,Elmhurst,New York,7.5,Meeting,5,4,9.97,16,1.62,Foggy,High,Wallet,Yes,Cancelled by Passenger,Urban,Suburban,Sedan,11,1,50,12,169.64,274.8168,10.6025,18,Yes,Sunday,Yes,No,Yes,Yes,16.964,257.8528,
1/13/2016 15:28,1/13/2016 15:28,Business,Midtown,East Harlem,6.2,Meeting,4.7,3,24.89,44,2.68,Clear,High,Wallet,No,Completed,Rural,Suburban,Sedan,14,3,50,12,348.68,934.4624,7.924545455,19,Yes,Sunday,Yes,Yes,Yes,Yes,0,934.4624,
1/13/2016 15:28,1/13/2016 15:28,Business,East Harlem,NoMad,6.4,Temporary Site,3.8,3.6,28.7,24,2.23,Stormy,High,Card,No,Cancelled by Passenger,Urban,Suburban,SUV,7,3,50,12,394.4,879.512,16.43333333,8,Yes,Monday,No,Yes,Yes,No,0,879.512,
1/13/2016 15:28,1/13/2016 15:28,Business,Flatiron District,Midtown,1.6,Errand/Supplies,3.8,4.2,24.81,98,2.16,Clear,High,Cash,No,Cancelled by Driver,Urban,Rural,Mini,5,3,50,12,347.72,751.0752,3.548163265,11,No,Monday,No,Yes,Yes,No,0,751.0752,
1/13/2016 15:28,1/13/2016 15:28,Business,Midtown,Midtown East,1.7,Meal/Entertain,3.8,5,1.05,42,1.51,Stormy,Medium,Card,Yes,Cancelled by Passenger,Rural,Urban,Sedan,5,0,50,12,62.6,94.526,1.49047619,13,No,Monday,No,No,No,No,6.26,88.266,
1/13/2016 15:28,1/13/2016 15:28,Business,Midtown East,Midtown,1.9,Meal/Entertain,4,4.3,19.46,7,2.51,Foggy,High,Card,No,Completed,Suburban,Rural,Auto,8,2,50,12,283.52,711.6352,40.50285714,14,No,Monday,No,Yes,Yes,No,0,711.6352,
1/13/2016 15:28,1/13/2016 15:28,Business,Midtown,Hudson Square,1.9,Meal/Entertain,4.3,3.5,2.48,32,1.16,Rainy,Medium,UPI,Yes,Completed,Urban,Urban,Sedan,12,4,50,12,79.76,92.5216,2.4925,12,No,Tuesday,No,No,No,No,7.976,84.5456,
1/13/2016 15:28,1/13/2016 15:28,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain,4.1,4.3,8.47,60,2.85,Rainy,High,Card,No,Cancelled by Driver,Urban,Urban,SUV,12,3,50,12,151.64,432.174,2.527333333,12,No,Tuesday,No,No,Yes,No,0,432.174,
1/13/2016 15:28,1/13/2016 15:28,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,3.9,4.1,2.73,94,1.65,Clear,Medium,Cash,Yes,Cancelled by Driver,Rural,Rural,Auto,7,3,50,12,82.76,136.554,0.880425532,14,No,Tuesday,No,No,No,No,8.276,128.278,
1/13/2016 15:28,1/13/2016 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,4.4,4.6,18.51,98,1.26,Foggy,Medium,Wallet,No,Cancelled by Driver,Suburban,Suburban,Mini,12,1,50,12,272.12,342.8712,2.776734694,15,No,Tuesday,No,Yes,No,No,0,342.8712,
1/13/2016 15:28,1/13/2016 15:28,Business,Hell's Kitchen,Midtown,2,Errand/Supplies,3.7,3.2,20.91,17,1.88,Rainy,Low,Card,No,Completed,Suburban,Rural,Auto,14,3,50,12,300.92,565.7296,17.70117647,15,No,Tuesday,No,Yes,No,No,0,565.7296,
1/13/2016 15:28,01-12-2016 17:00,Business,New York,Queens County,15.1,Meeting,3.9,4.5,4.32,81,1.08,Stormy,High,Wallet,No,Cancelled by Passenger,Rural,Rural,Auto,9,1,50,12,101.84,109.9872,1.257283951,16,No,Tuesday,No,No,Yes,No,0,109.9872,
1/13/2016 15:28,1/13/2016 14:07,Business,Downtown,Gulfton,11.2,Meeting,4,4.1,12.13,70,2.37,Rainy,Low,Card,Yes,Cancelled by Passenger,Suburban,Urban,SUV,4,1,50,12,195.56,463.4772,2.793714286,18,No,Monday,No,No,No,No,19.556,443.9212,
1/13/2016 15:28,1/13/2016 15:28,Business,Gulfton,Downtown,11.8,Meeting,4.2,4.9,14.23,41,2.81,Clear,Low,Wallet,Yes,Cancelled by Driver,Rural,Urban,Sedan,10,2,50,12,220.76,620.3356,5.384390244,19,No,Monday,No,No,No,No,22.076,598.2596,
1/13/2016 15:28,1/14/2016 17:05,Business,Houston,Houston,21.9,Customer Visit,4.7,3.7,11.7,53,2.67,Clear,High,Card,Yes,Cancelled by Passenger,Rural,Urban,Mini,4,0,50,12,190.4,508.368,3.59245283,8,No,Monday,No,No,Yes,Yes,19.04,489.328,
1/13/2016 15:28,1/14/2016 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,3.8,4.3,4.51,106,1.25,Foggy,Low,UPI,No,Cancelled by Passenger,Rural,Suburban,Auto,2,1,50,12,104.12,130.15,0.982264151,11,No,Monday,No,No,No,No,0,130.15,
1/13/2016 15:28,1/15/2016 1:01,Business,Morrisville,Cary,8,Errand/Supplies,4.3,4.9,13.15,70,1.25,Clear,High,Wallet,Yes,Cancelled by Driver,Urban,Rural,SUV,3,1,50,12,207.8,259.75,2.968571429,13,No,Monday,No,No,Yes,No,20.78,238.97,
1/13/2016 15:28,1/15/2016 12:03,Business,Cary,Durham,10.4,Meal/Entertain,4.4,3.2,22.78,40,2.63,Rainy,Low,Card,Yes,Cancelled by Driver,Urban,Rural,Sedan,1,2,50,12,323.36,850.4368,8.084,14,No,Monday,No,Yes,No,No,32.336,818.1008,
1/13/2016 15:28,1/15/2016 13:44,Business,Durham,Cary,10.4,Meal/Entertain,3.6,4.9,3.06,58,2.85,Rainy,High,Card,Yes,Completed,Urban,Suburban,Auto,1,1,50,12,86.72,247.152,1.495172414,12,No,Tuesday,No,No,Yes,No,8.672,238.48,
1/13/2016 15:28,1/18/2016 15:06,Business,Cary,Cary,4.8,Meal/Entertain,4.4,4.4,3.33,30,1.92,Rainy,High,UPI,Yes,Completed,Rural,Rural,SUV,7,4,50,12,89.96,172.7232,2.998666667,12,No,Tuesday,No,No,Yes,No,8.996,163.7272,
1/13/2016 15:28,1/18/2016 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,3.8,3.1,11.29,79,2,Rainy,High,UPI,Yes,Completed,Urban,Rural,SUV,14,0,50,12,185.48,370.96,2.347848101,14,No,Tuesday,No,No,Yes,No,18.548,352.412,
1/13/2016 15:28,1/19/2016 9:23,Business,Whitebridge,Lake Wellingborough,7.2,Meal/Entertain,3.6,3.6,28.31,76,1.64,Foggy,Medium,UPI,Yes,Completed,Urban,Urban,SUV,14,4,50,12,389.72,639.1408,5.127894737,15,No,Thursday,No,Yes,No,No,38.972,600.1688,
1/13/2016 15:28,1/19/2016 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,4.9,4.4,20.39,112,2.79,Stormy,Low,Wallet,No,Cancelled by Passenger,Urban,Suburban,Mini,5,3,50,12,294.68,822.1572,2.631071429,15,No,Thursday,No,Yes,No,Yes,0,822.1572,
1/13/2016 15:28,1/20/2016 11:11,Business,Cary,Raleigh,17.1,Meeting,4.9,3.1,20.68,44,2.29,Stormy,Medium,Wallet,No,Cancelled by Passenger,Rural,Urban,Sedan,3,0,50,12,298.16,682.7864,6.776363636,16,No,Thursday,No,Yes,No,Yes,0,682.7864,
1/13/2016 15:28,1/20/2016 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting,4.7,4.2,11.5,47,1.58,Foggy,Low,UPI,Yes,Completed,Rural,Suburban,Auto,7,3,50,12,188,297.04,4,18,No,Thursday,No,No,No,Yes,18.8,278.24,
1/13/2016 15:28,1/20/2016 14:19,Business,Raleigh,Cary,40.2,Customer Visit,4,3.7,18.22,26,1.6,Clear,Low,Cash,No,Completed,Rural,Urban,Sedan,14,1,50,12,268.64,429.824,10.33230769,19,No,Thursday,No,Yes,No,No,0,429.824,
1/13/2016 15:28,1/21/2016 14:29,Business,Cary,Cary,1.6,Errand/Supplies,3.6,4.2,1.29,24,2.78,Stormy,Low,Cash,No,Cancelled by Driver,Urban,Rural,Sedan,2,2,50,12,65.48,182.0344,2.728333333,8,No,Thursday,No,No,No,No,0,182.0344,
1/13/2016 15:28,1/21/2016 14:51,Business,Cary,Cary,2.4,Meal/Entertain,4.5,3.1,19.45,12,1.03,Clear,Medium,Card,Yes,Cancelled by Passenger,Suburban,Suburban,Auto,3,4,50,12,283.4,291.902,23.61666667,11,No,Thursday,No,Yes,No,Yes,28.34,263.562,
1/13/2016 15:28,1/21/2016 16:06,Business,Cary,Cary,1,Meal/Entertain,4.2,4.7,27.49,33,1.65,Stormy,Low,Cash,Yes,Cancelled by Passenger,Urban,Suburban,Sedan,1,3,50,12,379.88,626.802,11.51151515,13,No,Friday,No,Yes,No,No,37.988,588.814,
1/13/2016 15:28,1/26/2016 10:50,Business,Whitebridge,Hazelwood,2,Meal/Entertain,3.7,4.9,18.76,44,2.11,Clear,Medium,Card,No,Completed,Urban,Urban,Mini,8,1,50,12,275.12,580.5032,6.252727273,14,No,Friday,No,Yes,No,No,0,580.5032,
1/13/2016 15:28,1/26/2016 12:41,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,4.2,4.9,26.34,94,1.3,Foggy,High,Wallet,Yes,Cancelled by Passenger,Rural,Suburban,Auto,2,4,50,12,366.08,475.904,3.894468085,12,No,Monday,No,Yes,Yes,No,36.608,439.296,
1/13/2016 15:28,1/26/2016 16:32,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,3.6,4.5,22,34,1.18,Rainy,Low,Wallet,No,Cancelled by Driver,Rural,Rural,Auto,7,4,50,12,314,370.52,9.235294118,12,No,Monday,No,Yes,No,No,0,370.52,
1/13/2016 15:28,1/26/2016 17:22,Business,Cary,Cary,1.4,Errand/Supplies,4.9,3.3,4.5,85,2.63,Clear,Low,Cash,No,Cancelled by Driver,Urban,Rural,SUV,11,3,50,12,104,273.52,1.223529412,14,No,Monday,No,No,No,Yes,0,273.52,
1/13/2016 15:28,1/26/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,3.9,4.5,27.17,88,2.79,Rainy,High,Wallet,No,Cancelled by Passenger,Urban,Rural,Sedan,9,1,50,12,376.04,1049.1516,4.273181818,15,No,Tuesday,No,Yes,Yes,No,0,1049.1516,
1/13/2016 15:28,1/27/2016 9:31,Business,Cary,Cary,1.8,Meeting,4.5,3,2.93,59,2.65,Clear,High,UPI,Yes,Completed,Suburban,Urban,Auto,6,2,50,12,85.16,225.674,1.443389831,15,No,Tuesday,No,No,Yes,Yes,8.516,217.158,
1/13/2016 15:28,1/27/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,4,3,16.49,20,2.8,Clear,Low,UPI,No,Cancelled by Passenger,Suburban,Suburban,Auto,2,3,50,12,247.88,694.064,12.394,16,No,Tuesday,No,Yes,No,No,0,694.064,
1/13/2016 15:28,1/27/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,4.3,3.6,5.12,50,2.11,Clear,High,Cash,Yes,Cancelled by Driver,Rural,Urban,Mini,2,4,50,12,111.44,235.1384,2.2288,18,No,Thursday,No,No,Yes,No,11.144,223.9944,
1/13/2016 15:28,1/27/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,4.3,4,1.34,66,2.62,Clear,Medium,Cash,Yes,Completed,Suburban,Rural,SUV,9,4,50,12,66.08,173.1296,1.001212121,19,No,Thursday,No,No,No,No,6.608,166.5216,
1/13/2016 15:28,1/27/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,3.8,4.5,13.24,111,1.77,Clear,Medium,Card,Yes,Cancelled by Passenger,Suburban,Suburban,Auto,10,0,50,12,208.88,369.7176,1.881801802,8,No,Thursday,No,No,No,No,20.888,348.8296,
2/13/2016,1/28/2016 13:00,Business,Cary,Raleigh,19,Temporary Site,5,4.4,9.56,11,2.33,Rainy,Low,Wallet,Yes,Completed,Rural,Rural,Mini,8,1,50,12,164.72,383.7976,14.97454545,11,No,Thursday,No,No,No,Yes,16.472,367.3256,
2/13/2016,1/28/2016 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,4.7,3.9,15.09,84,2.98,Clear,Medium,Card,Yes,Completed,Suburban,Suburban,Auto,14,0,50,12,231.08,688.6184,2.750952381,13,No,Thursday,No,Yes,No,Yes,23.108,665.5104,
2/13/2016,1/28/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,4.9,3.5,17.74,49,1.45,Rainy,Medium,Card,No,Cancelled by Driver,Urban,Suburban,Auto,14,2,50,12,262.88,381.176,5.364897959,14,No,Thursday,No,Yes,No,Yes,0,381.176,
2/13/2016,1/29/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,4.8,5,2.27,63,1.78,Foggy,Low,UPI,Yes,Completed,Suburban,Urban,Auto,14,3,50,12,77.24,137.4872,1.226031746,12,No,Thursday,No,No,No,Yes,7.724,129.7632,
1/13/2016 15:28,1/29/2016 11:07,Business,Cary,Cary,5.2,Meeting,4.4,3.9,4.57,115,1.96,Stormy,High,UPI,Yes,Cancelled by Passenger,Rural,Suburban,Mini,9,4,50,12,104.84,205.4864,0.911652174,12,No,Friday,No,No,Yes,No,10.484,195.0024,
1/13/2016 15:28,1/29/2016 12:03,Business,Cary,Durham,10.4,Meeting,4.9,3.9,17.2,60,1.28,Clear,Low,UPI,Yes,Completed,Urban,Rural,Sedan,4,1,50,12,256.4,328.192,4.273333333,14,No,Friday,No,Yes,No,Yes,25.64,302.552,
2/13/2016,1/29/2016 13:47,Business,Durham,Cary,10.1,Meeting,3.6,3.3,10.95,52,1.16,Stormy,Medium,UPI,Yes,Completed,Suburban,Suburban,Auto,4,4,50,12,181.4,210.424,3.488461538,15,No,Thursday,No,No,No,No,18.14,192.284,
2/13/2016,1/29/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,3.8,4.6,22.15,31,2.66,Rainy,Low,Card,Yes,Cancelled by Passenger,Urban,Rural,Auto,2,0,50,12,315.8,840.028,10.18709677,15,No,Thursday,No,Yes,No,No,31.58,808.448,
2/13/2016,1/29/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,3.6,4.4,19.92,57,2.95,Foggy,Low,UPI,No,Cancelled by Driver,Urban,Urban,Sedan,14,0,50,12,289.04,852.668,5.070877193,16,No,Thursday,No,Yes,No,No,0,852.668,
2/13/2016,1/30/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,4,3.4,25.52,91,1.81,Foggy,Medium,Wallet,Yes,Cancelled by Driver,Suburban,Rural,Auto,10,3,50,12,356.24,644.7944,3.914725275,12,No,Friday,No,Yes,No,No,35.624,609.1704,
2/13/21016,1/30/2016 18:24,Business,Apex,Cary,5.7,Customer Visit,4.1,3.2,21.08,92,1.18,Foggy,Medium,UPI,Yes,Cancelled by Passenger,Suburban,Suburban,SUV,1,1,50,12,302.96,357.4928,3.293043478,12,No,Friday,No,Yes,No,No,30.296,327.1968,
01-02-2016 10:35,02-01-2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,3.9,4.4,13.47,77,1.13,Stormy,Low,UPI,No,Cancelled by Passenger,Rural,Rural,Auto,10,1,50,12,211.64,239.1532,2.748571429,10,Yes,Monday,No,No,No,No,0,239.1532,
01-02-2016 12:10,02-01-2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,4.7,4.3,20.52,39,2.78,Rainy,Medium,UPI,Yes,Cancelled by Driver,Rural,Rural,SUV,13,3,50,12,296.24,823.5472,7.595897436,12,No,Monday,No,Yes,No,Yes,29.624,793.9232,
01-02-2016 12:56,02-01-2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,4,3.5,8.99,55,1.93,Clear,Medium,Cash,No,Completed,Urban,Suburban,Sedan,4,0,50,12,157.88,304.7084,2.870545455,12,No,Monday,No,No,No,No,0,304.7084,
02-02-2016 13:04,02-02-2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,3.9,4.9,9.88,88,1.64,Clear,Medium,Wallet,No,Cancelled by Passenger,Rural,Rural,Mini,10,0,50,12,168.56,276.4384,1.915454545,13,No,Tuesday,No,No,No,No,0,276.4384,
02-02-2016 13:51,02-02-2016 14:06,Business,Cary,Cary,6,Errand/Supplies,4.3,3.3,23.88,41,1.95,Rainy,Medium,Wallet,No,Completed,Urban,Suburban,Sedan,10,0,50,12,336.56,656.292,8.208780488,13,No,Tuesday,No,Yes,No,No,0,656.292,
02-02-2016 14:38,02-02-2016 14:42,Business,Cary,Cary,1.6,Errand/Supplies,3.7,3.9,13.95,110,1.64,Stormy,Medium,Card,No,Cancelled by Passenger,Urban,Urban,Auto,11,4,50,12,217.4,356.536,1.976363636,14,No,Tuesday,No,No,No,No,0,356.536,
04-02-2016 08:40,02-04-2016 09:01,Business,Cary,Morrisville,5.2,Errand/Supplies,4.7,4.9,24.15,85,1.98,Clear,Medium,Card,Yes,Cancelled by Driver,Rural,Rural,SUV,8,2,50,12,339.8,672.804,3.997647059,8,Yes,Thursday,No,Yes,No,Yes,33.98,638.824,
04-02-2016 09:37,02-04-2016 10:09,Business,Morrisville,Cary,9.7,Meal/Entertain,3.6,3.8,24.85,115,2.72,Rainy,High,UPI,Yes,Completed,Rural,Urban,Mini,2,0,50,12,348.2,947.104,3.027826087,9,Yes,Thursday,No,Yes,Yes,No,34.82,912.284,
04-02-2016 10:26,02-04-2016 10:32,Business,Cary,Cary,1.6,Meal/Entertain,5,4.3,25.87,99,2.18,Clear,Low,Cash,No,Completed,Rural,Rural,Auto,13,2,50,12,360.44,785.7592,3.640808081,10,Yes,Thursday,No,Yes,No,Yes,0,785.7592,
04-02-2016 15:59,02-04-2016 16:03,Business,Cary,Cary,1.1,Meal/Entertain,4.7,3.8,27.58,61,2.39,Foggy,Medium,Card,No,Cancelled by Passenger,Suburban,Rural,Mini,12,2,50,12,380.96,910.4944,6.245245902,15,No,Thursday,No,Yes,No,Yes,0,910.4944,
04-02-2016 16:35,02-04-2016 16:39,Business,Cary,Cary,1.6,Meal/Entertain,3.8,3.5,13.5,12,1.73,Clear,Low,Card,Yes,Completed,Urban,Urban,Mini,11,1,50,12,212,366.76,17.66666667,16,No,Thursday,No,No,No,No,21.2,345.56,
04-02-2016 18:04,02-04-2016 18:31,Business,Whitebridge,Macgregor Downs,9,Meeting,3.5,5,10.25,83,2.48,Stormy,High,UPI,No,Cancelled by Passenger,Urban,Rural,Auto,8,3,50,12,173,429.04,2.084337349,18,Yes,Thursday,No,No,Yes,No,0,429.04,
04-02-2016 20:36,02-04-2016 20:55,Business,Cary,Cary,7.7,Meeting,4.7,3.8,17.88,99,2.33,Rainy,Medium,UPI,No,Cancelled by Driver,Urban,Rural,Sedan,1,4,50,12,264.56,616.4248,2.672323232,20,Yes,Thursday,No,Yes,No,Yes,0,616.4248,
05-02-2016 11:47,02-05-2016 12:07,Business,Cary,Durham,10.4,Meeting,4.6,4.8,11.76,98,1.24,Stormy,Low,Card,No,Completed,Rural,Urban,Auto,1,2,50,12,191.12,236.9888,1.950204082,11,No,Friday,No,No,No,Yes,0,236.9888,
05-02-2016 13:22,02-05-2016 13:41,Business,Durham,Cary,10.4,Meeting,4.6,3.5,18.43,114,2.15,Rainy,Medium,Card,Yes,Cancelled by Passenger,Rural,Rural,Auto,4,4,50,12,271.16,582.994,2.378596491,13,No,Friday,No,Yes,No,Yes,27.116,555.878,
06-02-2016 16:20,02-06-2016 16:53,Business,Cary,Raleigh,11.4,Between Offices,4.7,3.4,21.46,24,1.51,Foggy,Medium,Wallet,No,Completed,Rural,Suburban,Sedan,7,1,50,12,307.52,464.3552,12.81333333,16,No,Saturday,Yes,Yes,No,Yes,0,464.3552,
06-02-2016 18:57,02-06-2016 19:21,Business,Raleigh,Cary,9,Errand/Supplies,3.6,3.1,20.96,107,2.61,Rainy,Medium,Cash,Yes,Cancelled by Passenger,Rural,Rural,SUV,9,0,50,12,301.52,786.9672,2.817943925,18,Yes,Saturday,Yes,Yes,No,No,30.152,756.8152,
06-02-2016 19:28,02-06-2016 19:37,Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,4,4.3,11.86,57,1.85,Clear,Medium,Wallet,Yes,Cancelled by Passenger,Rural,Rural,Auto,5,2,50,12,192.32,355.792,3.374035088,19,Yes,Saturday,Yes,No,No,No,19.232,336.56,
07-02-2016 16:49,02-07-2016 17:01,Business,Cary,Apex,5.6,Errand/Supplies,3.7,3.7,5.84,16,2.99,Clear,Medium,Card,Yes,Cancelled by Passenger,Suburban,Rural,Mini,2,3,50,12,120.08,359.0392,7.505,16,No,Sunday,Yes,No,No,No,12.008,347.0312,
07-02-2016 18:03,02-07-2016 18:17,Business,Apex,Cary,5.7,Customer Visit,4.8,4.7,13.49,53,1.19,Foggy,Medium,Wallet,No,Cancelled by Driver,Rural,Urban,Auto,12,1,50,12,211.88,252.1372,3.997735849,18,Yes,Sunday,Yes,No,No,Yes,0,252.1372,
07-02-2016 18:39,02-07-2016 18:53,Business,Cary,Morrisville,6.1,Temporary Site,4.4,3.9,5.14,21,2.56,Rainy,Medium,Wallet,No,Completed,Urban,Suburban,Auto,7,4,50,12,111.68,285.9008,5.318095238,18,Yes,Sunday,Yes,No,No,No,0,285.9008,
07-02-2016 20:22,02-07-2016 20:40,Business,Morrisville,Cary,6.1,Meeting,4,4.9,26.81,68,2.35,Foggy,High,Card,Yes,Cancelled by Driver,Rural,Suburban,Mini,11,0,50,12,371.72,873.542,5.466470588,20,Yes,Sunday,Yes,Yes,Yes,No,37.172,836.37,
08-02-2016 12:57,02-08-2016 13:08,Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,3.6,3.4,11.03,46,2.53,Clear,High,UPI,Yes,Cancelled by Passenger,Urban,Rural,Sedan,2,4,50,12,182.36,461.3708,3.964347826,12,No,Monday,No,No,Yes,No,18.236,443.1348,
08-02-2016 14:00,02-08-2016 14:10,Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,4,4.7,5.48,98,1.62,Stormy,Medium,Card,Yes,Cancelled by Passenger,Rural,Urban,SUV,9,3,50,12,115.76,187.5312,1.18122449,14,No,Monday,No,No,No,No,11.576,175.9552,
09-02-2016 10:54,02-09-2016 11:07,Personal,Whitebridge,Northwoods,5.3,Meal/Entertain,4,4.6,1.74,33,1.98,Foggy,Medium,UPI,No,Cancelled by Driver,Rural,Urban,SUV,9,2,50,12,70.88,140.3424,2.147878788,10,Yes,Tuesday,No,No,No,No,0,140.3424,
09-02-2016 11:43,02-09-2016 11:50,Personal,Northwoods,Tanglewood,3,Meal/Entertain,4.6,4.5,19.73,23,2.59,Stormy,High,Card,No,Cancelled by Driver,Urban,Suburban,Mini,3,3,50,12,286.76,742.7084,12.46782609,11,No,Tuesday,No,Yes,Yes,Yes,0,742.7084,
09-02-2016 13:36,02-09-2016 13:52,Personal,Tanglewood,Preston,5.1,s,4.5,4.7,19.47,114,1.47,Stormy,High,Card,Yes,Completed,Urban,Urban,Sedan,13,4,50,12,283.64,416.9508,2.488070175,13,No,Tuesday,No,Yes,Yes,Yes,28.364,388.5868,
